========================================
         EXPERIMENT RESULTS
========================================
Date:              2026-05-22 10:33:36
Duration:          141.3 sec
Distance traveled: 10.54 m
Average speed:     0.075 m/s
Waypoints:         0
Start position:    (0.00, -0.00, 0.00)
End position:      (-3.26, -1.47, 0.00)
Status:            COMPLETED
========================================

Trajectory log (every ~1.0 sec):
  t=0.0s  pos=(0.001, -0.000, 0.000)
  t=1.0s  pos=(0.001, -0.000, 0.000)
  t=2.0s  pos=(0.104, 0.000, 0.000)
  t=3.0s  pos=(0.596, 0.128, 0.000)
  t=4.0s  pos=(1.017, 0.387, 0.000)
  t=5.0s  pos=(1.417, 0.687, 0.000)
  t=6.0s  pos=(1.829, 0.980, 0.000)
  t=7.0s  pos=(2.027, 1.128, 0.000)
  t=8.0s  pos=(2.161, 1.182, 0.000)
  t=9.0s  pos=(2.132, 1.171, 0.000)
  t=10.0s  pos=(2.222, 1.185, 0.000)
  t=11.0s  pos=(2.235, 1.187, 0.000)
  t=12.0s  pos=(2.236, 1.187, 0.000)
  t=13.0s  pos=(2.236, 1.188, 0.000)
  t=14.0s  pos=(2.236, 1.188, 0.000)
  t=15.0s  pos=(2.237, 1.188, 0.000)
  t=16.0s  pos=(2.236, 1.188, 0.000)
  t=17.0s  pos=(2.236, 1.187, 0.000)
  t=18.0s  pos=(2.236, 1.187, 0.000)
  t=19.0s  pos=(2.235, 1.187, 0.000)
  t=20.0s  pos=(2.236, 1.187, 0.000)
  t=21.0s  pos=(2.258, 1.190, 0.000)
  t=22.0s  pos=(2.258, 1.191, 0.000)
  t=23.0s  pos=(2.260, 1.192, 0.000)
  t=24.0s  pos=(2.260, 1.193, 0.000)
  t=25.0s  pos=(2.261, 1.193, 0.000)
  t=26.0s  pos=(2.261, 1.194, 0.000)
  t=27.0s  pos=(2.262, 1.195, 0.000)
  t=28.0s  pos=(2.262, 1.195, 0.000)
  t=29.0s  pos=(2.264, 1.198, 0.000)
  t=30.0s  pos=(2.273, 1.204, 0.000)
  t=31.0s  pos=(2.288, 1.208, 0.000)
  t=32.0s  pos=(2.288, 1.207, 0.000)
  t=33.0s  pos=(2.287, 1.206, 0.000)
  t=34.0s  pos=(2.285, 1.206, 0.000)
  t=35.0s  pos=(2.285, 1.206, 0.000)
  t=36.0s  pos=(2.285, 1.205, 0.000)
  t=37.0s  pos=(2.285, 1.205, 0.000)
  t=38.0s  pos=(2.282, 1.205, 0.000)
  t=39.0s  pos=(2.290, 1.201, 0.000)
  t=40.0s  pos=(2.297, 1.188, 0.000)
  t=41.0s  pos=(2.301, 1.163, 0.000)
  t=42.0s  pos=(2.317, 0.874, 0.000)
  t=43.0s  pos=(2.138, 0.422, 0.000)
  t=44.0s  pos=(1.757, 0.108, 0.000)
  t=45.0s  pos=(1.278, -0.053, 0.000)
  t=46.0s  pos=(0.797, -0.192, 0.000)
  t=47.0s  pos=(0.308, -0.282, 0.000)
  t=48.0s  pos=(-0.182, -0.415, 0.000)
  t=49.0s  pos=(-0.689, -0.549, 0.000)
  t=50.0s  pos=(-1.172, -0.673, 0.000)
  t=51.0s  pos=(-1.659, -0.860, 0.000)
  t=52.0s  pos=(-2.134, -1.022, 0.000)
  t=53.0s  pos=(-2.632, -1.199, 0.000)
  t=54.0s  pos=(-3.127, -1.396, 0.000)
